stimulus;background.size;gaze.size;head.size;body.size;nongaze.size;background.m_x;background.min_x;background.max_x;background.m_y;background.min_y;background.max_y;gaze.m_x;gaze.min_x;gaze.max_x;gaze.m_y;gaze.min_y;gaze.max_y;head.m_x;head.min_x;head.max_x;head.m_y;head.min_y;head.max_y;body.m_x;body.min_x;body.max_x;body.m_y;body.min_y;body.max_y;nongaze.m_x;nongaze.min_x;nongaze.max_x;nongaze.m_y;nongaze.min_y;nongaze.max_y
25D_ROI.png;997266;24797;45427;151775;9535;637,016540220964;1;1280;466,199185573358;1;960;559,279549945558;482;659;779,899342662419;628;889;679,451999911947;568;803;274,682127369186;140;432;698,605521330917;396;913;575,528137044968;328;960;105,578290508652;64;146;665,534452018878;603;730
26A_ROI.png;1000370;5847;45500;171836;5247;661,069146415826;1;1280;487,901193558383;1;960;585,585257396956;536;632;774,386694031127;730;816;578,831120879121;477;683;178,981274725275;37;324;528,786127470379;247;795;501,54771409949;264;723;973,400419287212;893;1046;667,284734133791;630;705
26B_ROI.png;1044260;5577;37371;137073;4519;659,506128741884;1;1280;488,216252657384;1;960;475,900484131253;396;547;734,423525192756;696;775;550,179176366701;462;647;206,142062026705;78;346;519,311768181918;253;761;480,672393542127;271;681;874,544146935163;829;915;647,681788006196;610;686
26C_ROI.png;1020745;4570;45889;152025;5571;677,079614399287;1;1280;479,793540012442;1;960;856,34989059081;783;923;699,8647702407;665;735;503,433306456885;344;630;238,485955239818;108;375;435,077724058543;175;688;539,95931590199;310;752;495,872913301023;445;542;800,926943098187;759;841
26D_ROI.png;1046616;4233;41251;131016;5684;667,440293288083;1;1280;491,9947220375;1;960;811,871013465627;770;852;629,547838412473;594;665;529,244042568665;359;653;190,586167608058;60;335;464,22325517494;203;703;464,85941411736;261;667;422,860661505982;343;496;717,467452498241;680;757
2A_ROI.png;1162888;3816;15184;43847;3065;645,750080833236;1;1280;483,973111770007;1;960;380,908542976939;264;476;587,500786163522;562;613;549,492096944152;481;621;275,522128556375;198;351;549,204552192852;378;699;443,995415877939;334;543;728,669820554649;681;768;567,235889070147;536;594
2B_ROI.png;1163001;2610;15644;44711;2834;644,981846963158;1;1280;484,184296488137;1;960;398,541379310345;364;430;578,620689655172;546;602;564,960112503196;495;638;276,0381615955;196;352;558,936883540963;380;700;443,763302095681;325;544;727,879675370501;618;802;586,428016937191;556;612
2C_ROI.png;1159342;3046;15987;46147;4278;648,309099471942;1;1280;484,280788585249;1;960;731,794812869337;684;769;567,183519369665;537;594;535,526615374992;462;602;271,537186464002;194;343;498,259496825362;347;686;442,132337963465;327;541;385,867227676484;268;480;588,95628798504;563;616
2D_ROI.png;1161505;2731;16542;45268;2754;647,617415336137;1;1280;484,334577982876;1;960;728,892347125595;620;803;587,575979494691;558;613;554,43991053077;481;627;279,051867972434;201;362;498,657572678272;341;679;443,322678271627;329;542;399,474582425563;365;431;578,173202614379;546;604
3A_ROI.png;1160976;2287;8378;44048;13111;644,662701037748;1;1280;479,956859573324;1;960;337,080017490162;265;816;642,095758635767;614;732;534,218548579613;486;582;295,095726903796;238;362;563,062091354886;424;688;475,565110788231;321;594;652,896956753871;591;716;635,460910685684;567;697
3B_ROI.png;1159849;10833;8321;47210;2587;646,345240630461;1;1280;480,304800883563;1;960;340,194498292255;284;397;616,043755192467;554;673;559,658214156952;512;610;293,288306693907;238;360;579,703262020758;436;699;477,074941749629;319;597;646,882489369927;585;738;665,092771550058;637;691
3C_ROI.png;1155626;2519;7834;51597;11224;646,441132338663;1;1280;480,736014073757;1;960;646,632393807066;585;738;654,086145295752;628;680;574,067143221853;531;616;279,418943068675;223;347;582,810686667829;455;723;469,352578638293;319;599;338,990377761939;283;396;608,835263720599;546;665
3D_ROI.png;1154998;12923;7824;50674;2381;645,359180708538;1;1280;479,796261984869;1;960;652,723129304341;591;715;634,156310454229;565;695;550,893149284254;508;592;296,708972392638;241;362;554,688696372893;425;703;478,128251174172;333;597;337,762704745905;266;411;642,315413691726;613;679
4A_ROI.png;1055875;27317;10014;85443;50151;648,314554279626;1;1280;475,313814608737;1;960;181,673207160376;87;275;769,025881319325;690;851;499,946874375874;452;557;238,351807469543;171;309;496,443336493335;354;636;496,89575506478;274;789;999,390381049231;889;1138;452,948635121932;281;650
4B_ROI.png;1076674;41010;9153;78940;23023;657,992961657846;1;1280;471,187091914544;1;960;148,006559375762;1;247;484,91216776396;320;661;542,192395935759;490;597;285,3821697804;224;341;538,266784899924;402;661;539,298568533063;310;824;1089,31372974851;1006;1175;784,125830691048;709;861
4C_ROI.png;1072818;22862;9571;81846;41703;656,116133398209;1;1280;471,842584669534;1;960;1117,22955122037;1034;1202;773,591899221415;700;850;486,876188486052;437;539;293,437362866994;230;358;558,611612051902;406;715;532,43912958483;334;810;173,394767762511;32;272;483,534086276767;317;660
4D_ROI.png;1067221;47236;8979;80365;24999;643,671196500069;1;1280;469,550596361953;1;960;1019,99057921924;910;1202;492,186150393767;324;816;467,529346252367;418;517;295,710546831496;235;354;521,714676787159;385;667;539,327505754993;323;810;232,055722228889;143;319;803,112044481779;725;883
5A_ROI.png;1152466;6231;6595;49815;13693;645,411812582757;1;1280;475,318863202906;1;960;205,846252607928;140;281;625,258064516129;577;672;587,42486732373;541;631;361,341319181198;308;411;545,584482585567;332;670;574,93640469738;388;816;795,752866428102;708;881;564,528226100927;522;609
5B_ROI.png;1148942;17377;6662;50525;5294;651,63821759497;1;1280;473,82630454801;1;960;183,372791621108;81;288;626,437071991713;572;685;583,007655358751;535;622;370,884419093365;317;423;536,376011875309;324;661;584,115804057397;391;839;789,765583679637;733;857;598,900264450321;555;635
5C_ROI.png;1149734;5593;6604;49151;17718;648,494749220254;1;1280;474,078171124799;1;960;850,652780261041;793;921;597,475773288039;553;634;566,783918837068;525;613;377,949424591157;324;429;585,870297654168;474;725;581,001709019145;407;845;234,399198555142;132;340;619,716277232193;566;678
5D_ROI.png;1152692;13658;6585;49380;6485;646,517699437491;1;1280;475,991251782783;1;960;789,464050373408;701;876;559,176965880802;517;605;519,225664388762;477;568;354,931055429005;302;404;533,695524503848;429;665;561,974301336573;378;821;193,544178874325;128;270;623,337085582113;575;670
